App_ID,App_Icon_URL,App_Image_Name,App_Name
com.appgenix.bizcal,https://lh3.googleusercontent.com/eYNnIoel0Z0IF1IT0b9I3ulQqkUDZWol5hH20LjhsIi4i2u_zgh-j8dtV2e0G-uxZdU=w170,,Business Calendar 2
com.whindipanchangcalendar.iwebnapp,https://lh3.googleusercontent.com/xlKu1nheU2yXmhIDthi5PxVK-WNTxgUPPWcEeonVgq0CTPpsyyBNt43Vi_WHbdxUx_A=w170,,Hindi Panchang Calendar
com.popularapp.periodcalendar,https://lh3.googleusercontent.com/jCw0w3M5ILePsx_LxtCNJHSntwGsa4yPY-PfiiXBtbNo-pvCNMyo6N5PUKiu1v9URDs=w170,,"Period Tracker, My Calendar"
com.drikp.core,https://lh3.ggpht.com/x2Elz3dMj1BYWnMfI1MpWL_K4FBqXdldOEnz7BI9bc6O3U6dLaiHGjyqVZnfaW9Rp80=w170,,Hindu Calendar
com.shreesoftech.bhujmandir.gujaraticalendar2015,https://lh3.googleusercontent.com/i60cIO8ePgaTVUKt8TvusC-Oq2z3iavd-8V6n8fe8edTYjk_mu6YEXSro1rBbfF9Jfs=w170,,Gujarati Calendar 2019
com.kannada.calendar.kannadacalender,https://lh3.googleusercontent.com/T4i0O68B1MVLiSMcGXoUo3YDsQ1MOpmNIdvadda1HHkljsNZMtQ28IzHywwMYVByV38=w170,,Kannada Calendar 2019 - Free ಕನ್ನಡ ಕ್ಯಾಲೆಂಡರ್ 2019
com.joshy21.vera.free.calendarplus,https://lh3.googleusercontent.com/19ZAHZ4LBIjAlX8AaChA6TSNvyawLytV4rt2YfhbK4s_v4ivrGgGhvoeczNfFbcM7zme=w170,,Calendar+ Schedule Planner App
com.techindia.rajgopalms.calender,https://lh3.googleusercontent.com/-NU6tpacksEClutOaSXYLAXoyJ8gNAtYpDsViRYvn4hB4mp5V-IYVP29bQFYbWK_Lg=w170,,Latest Kannada Calendar 2019 - Tech India Calendar
kannada.calender,https://lh3.googleusercontent.com/8Fi3ZXr0vMhS20clDTNqPiVAArWWTFTdd_Rrt7qLhE0BD_-ljnmFyy_tHxV_b7U2QVU=w170,,"Kannada Calendar 2018 ,ಕನ್ನಡ ಕ್ಯಾಲೆಂಡರ್"
androapps2015.telugu.calender,https://lh3.googleusercontent.com/KSg972oF3Du1uPM24kLavGDp0X36CQA0rtHRKdfn2HSqT8ipufF4QxuWZMRz4t43_Q=w170,,2018 Telugu calendar
timeshunt.malayalam.calendar,https://lh3.googleusercontent.com/LWy4qiAxQqzsmJPL6mbC3C_8-ulMSjUq_fCm_cOR0ECVRZQ5ygqnD6eHIkCndBbvXTUJ=w170,,Malayalam Calendar 2018
com.nayanjyoti1999.assamese_calender,https://lh3.googleusercontent.com/A1mR6PPX8miaDcLoRXhhu7NKX7JyoYBetb-qUPdb9uPkn_ND5IHG04GsrybyY3ZIEX4=w170,,"Assamese Calendar 2018-19 Asomiya Calender ,assmis"
com.itbenefit.android.calendar,https://lh4.ggpht.com/ZR0O7C4ZHkBQg3FvFIQXA5H1plORLMpt3_Z5u_ASbvz5Dpg5OmHs3v-VCmC0YpB8WwU=w170,,Calendar Widget Month + Agenda
com.hindu.calendar.panchang,https://lh3.googleusercontent.com/4141WTwD9QYqFvQRwQTmtMGDOYsS7Sewd-jTjNuFQxRJbpfQoNtL1qE8xImPRlhcakA=w170,,Calendar 2018
com.ansh.oriyacalender,https://lh3.googleusercontent.com/XKOkXuiflWGLr4k-7Y707hN8wrVoxiz6jm_nbif2PM5EJ24mj5rVHgA6Hs6YN1XNvGI=w170,,Odia Calendar 2019
framographyapps.calenderphotoframe,https://lh3.googleusercontent.com/Dai3s4j7u8lxnNtTVbSgY5-NmXZ9IPNczlFYlbjEBnwguTSLn_8O6VQQyYBYMSN6F0w=w170,,Calender 2018 Photo Frame
com.hotmegroup.nanakshahicalender,https://lh3.googleusercontent.com/RRFdOHMwDjro_R9jdaAXf-zoMoKkVd5yNJHujyf9oc5mPu1fFqErq5T6BTu9XuM1FIL6=w170,,Nanakshahi calender
in.banaka.hindi.calendar.panchang,https://lh3.googleusercontent.com/FjhJMiKlBFEXt64asPVKH-D5x2K17qy5QzWg84yFSKugOxsnCHxzJja8obNoHHV2Bww5=w170,,Hindi Calendar 2018 - Panchang 2018
com.byteartist.widget,https://lh3.googleusercontent.com/tf8hrdYZyNfTZ3lN08_K9-4TnVeHXTXVFXNcQEl1BKJt7HPlrZfcWCWF32lhQxu3OeYz=w170,,Clean Calendar Widget - Agenda Calender 2018
com.bb.telugucalender,https://lh3.googleusercontent.com/RBe-YFFbjMV6vaq7fzxsoWH_4v52ndGEYPlnzup0_vwdaEtUkO5PnpFaOaxsBpd3X3Ha=w170,,Telugu Calendar 2019
org.withouthat.acalendar,https://lh3.googleusercontent.com/B5iZ9Cv45H55EYEnovRSPUwGAAJHqwNtzIa_Wie8BiKEDx5w8WJw8fyhJSVdkWAGf68=w170,,aCalendar - Android Calendar
com.outscar.bd.bongcal,https://lh3.googleusercontent.com/r5_SU-s4bCjR7dW9SdCoX_5e-qUa2iMHbpFCiC4eRaxKmsIsc6y2kDXUXcb_noURJg=w170,,Bangla Calendar (Bangladesh)
com.hinduapp.calendar,https://lh3.googleusercontent.com/87kkRuCbvD6lodGCqqeJMBkT1yhgWQ9Zy4TjeWhgSKC0fTB-cU7yTPBC3UMWSpPS5ys=w170,,Hindu Calendar
com.lrhsoft.shiftercalendar,https://lh3.googleusercontent.com/SA7b_np-YXC-kQGLADYytIsM9FtjHd4hDB5SrpZ7h2-SJoFJRT7rapOuW9gTbgK9k3Q=w170,,Work Shift Calendar
cbinternational.ParvTyohar,https://lh3.googleusercontent.com/4Cz_6AeVzmreD_Ct6eHpnotF9SCyVXYDd6ij_R9vATZKBsNZj71K80EaugcvpblRZA=w170,,Parv Tyohar 2019 Festival List Hindu Calendar
factor.labs.indiancalendar,https://lh3.googleusercontent.com/G0EMV1OzztXWZSNvAH3AmTEmmTJtZnEqp8yOGRWH7H5h10Vev90ySWzHnReEeE83qE8=w170,,Indian Festival Calendar 2018
jp.co.johospace.jorte,https://lh4.ggpht.com/l1H4c1cDHgoz-YK5z7Ipnud5a5fllzteyA3MX74kyYO6OSF7Tuq80Z2PmV6G_mLrTqk=w170,,Jorte Calendar & Organizer
com.yourchineseastrology.chinesecalendar,https://lh5.ggpht.com/D_eWcYWp5_BFbsiTm2IZhXst_3MHTTKeE4zkq4NAyX_jmQ8QsfZDo4lLHiXkiti-qQ=w170,,Chinese Calendar
com.mi.global.shop,https://lh3.googleusercontent.com/Pd5vMHvXCfok9I1ftDyvPMkqtzCBzXfkIeH7TuShdyGBVQ7QeASNQREJR2k8ypTtQAk9=w170,,Mi Store
infotech.csks.manipuricalendar2017,https://lh3.googleusercontent.com/lKVioJ_x9iQxHCmT-EGk5T4YW-Nx_4Rhra6WCiPjj1ePew9ySjVyhmOhtjSP6D0oEQ=w170,,Manipuri Calendar 2019
